number,title,genre,plot,Running time,Box office,imdb
120,Doug's 1st Movie,"Animation, Adventure, Comedy, Drama, Family, Fantasy, SciFi",Doug and his pal Skeeter set out to find the monster of Lucky Duck Lake.,83,19400000,5
121,Inspector Gadget,"Action, Adventure, Comedy, Crime, Family, SciFi",A security guard's dreams come true when he is selected to be transformed into a cybernetic police officer.,78,134400000,4.2
122,The Straight Story,"Biography, Drama",An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,112,6200000,8
123,Toy Story 2,"Animation, Adventure, Comedy, Family, Fantasy","When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",92,497400000,7.9
124,Fantasia 2000,"Animation, Comedy, Family, Fantasy, Music",An update of the original film with new interpretations of great works of classical music.,74,90900000,7.2
125,The Tigger Movie,"Animation, Comedy, Drama, Family, Musical",Tigger goes looking through the hundred-acre-wood to find his family.,77,96200000,6.3
126,Dinosaur,"Animation, Adventure, Family, Thriller",An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,82,349800000,6.5
127,The Kid,"Comedy, Family, Fantasy",An unhappy and disliked image consultant gets a second shot at life when he is mysteriously confronted by an eight-year-old version of himself.,104,110300000,8.3
128,Remember The Titans,"Biography, Drama, Sport",The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,113,136700000,7.8
129,102 Dalmatians,"Adventure, Comedy, Family",Cruella DeVil gets out of prison and goes after the puppies once more.,100,183600000,4.9
130,The Emperor's New Groove,"Animation, Adventure, Comedy, Family, Fantasy","Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",78,169300000,7.4
131,Recess: School's Out,"Animation, Comedy, Family",TJ and company must save summer vacation from disappearing forever.,83,44500000,6.6
132,Atlantis: The Lost Empire,"Animation, Action, Adventure, Family, Fantasy, SciFi",A young adventurer named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.,96,186100000,6.9
133,The Princess Diaries,"Comedy, Family, Romance","Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year.",115,165300000,6.3
134,"Monsters, Inc.","Animation, Adventure, Comedy, Family, Fantasy","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",92,577400000,8.1
135,Snow Dogs,"Adventure, Comedy, Family, Sport","When a Miami dentist inherits a team of sled dogs, he's got to learn the trade or lose his pack to a crusty mountain man.",99,115000000,5.2
136,The Rookie,"Drama, Family, Sport",A Texas baseball coach makes the major league after agreeing to try out if his high school team made the playoffs.,128,80700000,6.9
137,Lilo & Stitch,"Animation, Adventure, Comedy, Drama, Family, Fantasy, SciFi",A Hawaiian girl adopts an unusual pet who is actually a notorious extra-terrestrial fugitive.,85,273100000,7.2
138,The Country Bears,"Comedy, Family, Music, Musical",Beary Barrington goes on an adventure to save Country Bear Hall by getting the Country Bears back together for a reunion concert.,88,18000000,4.1
139,Tuck Everlasting,"Drama, Family, Fantasy, Romance",A young woman meets and falls in love with a young man who is part of a family of immortals.,96,19300000,6.6
140,The Santa Clause 2,"Comedy, Family, Fantasy","Scott Calvin has been a humble Santa Claus for nearly ten years, but it might come to an end if he doesn't find a Mrs. Claus.",104,172900000,5.6
141,Treasure Planet,"Animation, Adventure, Family, SciFi","A Disney animated version of ""Treasure Island"". The only difference is that this movie is set in outer space with alien worlds and other galactic wonders.",95,109600000,7.2
142,The Jungle Book 2,"Animation, Adventure, Family, Musical","Mowgli, missing the jungle and his old friends, runs away from the man village unaware of the danger he's in by going back to the wild.",72,135700000,5.4
143,Piglet's Big Movie,"Animation, Adventure, Comedy, Family, Musical, Mystery","When Piglet comes up missing his Hundred Acre Wood friends use Piglet's own Book of Memories to find him, discovering along the way just how big a role he's played in their lives.",75,62900000,6.2
144,Holes,"Adventure, Comedy, Drama, Family, Mystery",A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason.,117,71400000,7
145,Lizzie McGuire,"Adventure, Comedy, Family, Music, Romance","Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.",94,55500000,5.5
146,Finding Nemo,"Animation, Adventure, Comedy, Family","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",100,940300000,8.1
147,Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",143,654300000,8
148,Freaky Friday,"Comedy, Family, Fantasy, Music, Romance","An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",97,160800000,6.2
149,Brother Bear,"Animation, Adventure, Comedy, Family, Fantasy","When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back.",85,250400000,6.8
150,The Haunted Mansion,"Comedy, Family, Fantasy, Horror, Mystery","A realtor and his wife and children are summoned to a mansion, which they soon discover is haunted, and while they attempt to escape, he learns an important lesson about the family he has neglected.",86,182300000,5
151,The Young Black Stallion,"Adventure, Family, Drama",A young girl befriends a wild black stallion.,50,9638389,5.6
152,Teacher's Pet,"Animation, Adventure, Comedy, Family, Fantasy, Musical, SciFi","Spot (Lane) is a dog who can talk and read. Posing as a human, he sneaks into school with his master Leonard (Flemming). Educational adventures ensue.",74,6500000,7.1
